STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,TAVG
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/1/2016,0,0,0,70,38,44,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/2/2016,0,0,0,64,35,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/3/2016,0.12,0.5,0,51,26,28,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/4/2016,0.08,0,0,43,27,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/5/2016,0,0,0,55,27,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/6/2016,0,0,0,55,28,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/7/2016,0,0,0,57,28,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/8/2016,0,0,0,63,32,34,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/9/2016,0,0,0,68,33,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/10/2016,0,0,0,70,35,42,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/11/2016,0,0,0,68,40,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/12/2016,0,0,0,68,34,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/13/2016,0,0,0,69,33,46,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/14/2016,0.12,0,0,66,40,41,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/15/2016,0.92,0,0,48,40,44,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/16/2016,1.99,0,0,54,39,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/17/2016,2.49,0,0,48,32,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/18/2016,0.05,0,0,45,28,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/19/2016,0,0,0,50,28,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/20/2016,0,0,0,55,28,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/21/2016,0,0,0,58,29,34,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/22/2016,0,0,0,66,29,34,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/23/2016,0,0,0,64,34,41,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/24/2016,0.03,0,0,65,41,48,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/25/2016,0.01,0,0,56,40,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/26/2016,0,0,0,57,35,47,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/27/2016,0,0,0,62,42,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/28/2016,1.63,0,0,54,43,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/29/2016,0.31,0,0,53,42,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/30/2016,0.14,0,0,56,40,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/31/2016,1.15,0,0,49,32,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/1/2016,0.21,0.5,0,45,32,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/2/2016,0,0,0,47,27,28,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/3/2016,0,0,0,50,27,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/4/2016,0,0,0,54,28,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/5/2016,0,0,0,55,29,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/6/2016,0,0,0,60,29,38,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/7/2016,0,0,0,53,34,40,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/8/2016,0,0,0,57,32,37,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/9/2016,0,0,0,58,33,38,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/10/2016,0,0,0,60,32,38,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/11/2016,0,0,0,56,32,37,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/12/2016,0,0,0,62,37,39,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/13/2016,0,0,0,61,29,36,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/14/2016,0,0,0,61,29,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/15/2016,0,0,0,62,28,54,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/16/2016,0.03,0,0,59,29,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/17/2016,0.04,0,0,35,18,22,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/18/2016,0,0,0,41,22,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/19/2016,0,0,0,53,28,47,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/20/2016,0.52,1,1,54,31,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/21/2016,0.25,0,1,40,31,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/22/2016,0,0,0,42,22,26,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/23/2016,0.21,2,2,44,22,24,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/24/2016,0.02,0,2,35,16,18,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/25/2016,0,0,2,45,18,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/26/2016,0,0,1,48,34,42,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/27/2016,0.97,11,12,43,22,25,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/28/2016,0,0,11,35,25,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/29/2016,0,0,10,38,16,23,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/30/2016,0,0,9,37,16,,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/1/2016,0,0,7,40,24,26,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/2/2016,0,0,7,35,14,24,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/3/2016,0,0,5,31,15,19,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/4/2016,0,0,5,44,18,25,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/5/2016,0,0,4,50,20,22,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/6/2016,0,0,4,44,16,24,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/7/2016,0,0,3,35,17,18,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/8/2016,0.25,1,4,40,18,37,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/9/2016,0.06,0,2,46,18,40,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/10/2016,1.31,0,0,45,37,37,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/11/2016,2.17,0,0,43,26,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/12/2016,0,0,0,45,23,24,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/13/2016,0,0,0,48,23,33,
